  …¢”µ      XC          YC          ZC      ÇúÂÊ      Á¦¾Ø
  0.083893  -257.930299   39.332703    0.000000  7.156358e-02  0.000000e+00
  0.084151  -258.165545   39.352387    0.000000  7.182076e-02  0.000000e+00
  0.084409  -258.400417   39.368041    0.000000  7.196316e-02  0.000000e+00
  0.084667  -258.634836   39.379687    0.000000  7.197199e-02  0.000000e+00
  0.084925  -258.868727   39.387355    0.000000  7.182721e-02  0.000000e+00
  0.085183  -259.102026   39.391087    0.000000  7.150770e-02  0.000000e+00
  0.085441  -259.334674   39.390933    0.000000  7.099140e-02  0.000000e+00
  0.085700  -259.566624   39.386954    0.000000  7.025556e-02  0.000000e+00
  0.085958  -259.797837   39.379223    0.000000  6.927697e-02  0.000000e+00
  0.086216  -260.028287   39.367824    0.000000  6.803590e-02  0.000000e+00
  0.086474  -260.257956   39.352852    0.000000  6.652523e-02  0.000000e+00
  0.086732  -260.486837   39.334414    0.000000  6.474288e-02  0.000000e+00
  0.086990  -260.714936   39.312625    0.000000  6.268977e-02  0.000000e+00
  0.087248  -260.942265   39.287615    0.000000  6.036974e-02  0.000000e+00
  0.087506  -261.168846   39.259519    0.000000  5.778941e-02  0.000000e+00
  0.087765  -261.394709   39.228485    0.000000  5.495799e-02  0.000000e+00
  0.088023  -261.619891   39.194667    0.000000  5.188702e-02  0.000000e+00
  0.088281  -261.844436   39.158229    0.000000  4.859006e-02  0.000000e+00
  0.088539  -262.068395   39.119343    0.000000  4.508236e-02  0.000000e+00
  0.088797  -262.291824   39.078187    0.000000  4.138053e-02  0.000000e+00
  0.089055  -262.514782   39.034948    0.000000  3.750220e-02  0.000000e+00
  0.089313  -262.737337   38.989819    0.000000  3.346568e-02  0.000000e+00
  0.089572  -262.959556   38.942996    0.000000  2.928966e-02  0.000000e+00
  0.089830  -263.181511   38.894686    0.000000  2.499297e-02  0.000000e+00
  0.090088  -263.403277   38.845097    0.000000  2.059430e-02  0.000000e+00
  0.090346  -263.624931   38.794442    0.000000  1.611206e-02  0.000000e+00
  0.090604  -263.846549   38.742941    0.000000  1.156418e-02  0.000000e+00
  0.090862  -264.068209   38.690815    0.000000  6.968048e-03  0.000000e+00
  0.091120  -264.289990   38.638289    0.000000  2.340414e-03  0.000000e+00
  0.091378  -264.511970   38.585591    0.000000  -2.302659e-03  0.000000e+00
  0.091637  -264.734223   38.532951    0.000000  -6.945803e-03  0.000000e+00
